,Income tax,NI,VAT,Onshore corp tax
1998-99,9.30,6.46,6.37,3.23
1999-00,9.55,6.55,6.69,3.61
2000-01,10.28,6.92,6.84,3.44
2001-02,10.53,6.99,6.95,3.07
2002-03,10.57,6.86,6.80,2.76
2003-04,11.14,7.91,7.40,2.76
2004-05,11.58,8.26,7.49,3.28
2005-06,12.20,8.53,7.54,3.62
2006-07,12.92,8.73,8.09,3.43
2007-08,13.57,9.14,8.17,3.30
2008-09,12.64,9.07,7.45,2.54
2009-10,12.08,8.86,7.10,2.85
2010-11,12.42,8.76,7.92,2.84
2011-12,12.20,8.97,8.77,2.62
2012-13,11.84,9.11,8.85,2.79
2013-14,11.90,9.19,9.48,2.80
2014-15,12.22,9.34,9.60,3.18
2015-16,12.52,9.59,10.00,3.28
2016-17,12.76,10.37,10.19,3.91
-META-,,,,
YAXISTITLE,Revenue / Â£ billion (real 2016-17 prices),,,
SYMBOLS,TRUE,,,
LEGENDY,7,,,
