End Date,No ,Yes,Donâ€™t know
08-Jul-14,46%,41%,13%
09-Jul-14,41%,32%,27%
11-Jul-14,45%,34%,21%
22-Jul-14,48%,41%,11%
01-Aug-14,46%,40%,14%
03-Aug-14,54%,40%,7%
07-Aug-14,50%,37%,13%
07-Aug-14,55%,35%,11%
07-Aug-14,45%,32%,23%
13-Aug-14,47%,37%,14%
15-Aug-14,46%,42%,12%
15-Aug-14,51%,38%,11%
28-Aug-14,48%,42%,11%
01-Sep-14,48%,42%,10%
04-Sep-14,48%,44%,8%
04-Sep-14,39%,38%,23%
05-Sep-14,45%,47%,7%
09-Sep-14,48%,42%,10%
11-Sep-14,50%,45%,6%
11-Sep-14,42%,40%,17%
11-Sep-14,49%,45%,6%
12-Sep-14,49%,42%,9%
12-Sep-14,42%,49%,9%
14-Sep-14,47%,46%,7%
15-Sep-14,49%,45%,6%
16-Sep-14,45%,41%,14%
16-Sep-14,48%,44%,8%
16-Sep-14,49%,47%,5%
17-Sep-14,50%,45%,5%
17-Sep-14,48%,43%,9%
17-Sep-14,50%,45%,6%
17-Sep-14,50%,45%,4%
-META-,,,
XSCALETYPE,DATE,,
YAXISTITLE,%,,
LINES,FALSE,,
SYMBOLS,TRUE,,
LEGENDX,13-Jul-14,,
LEGENDY,8.3,,
HORIZLINES,46.7%,36.5%,15.5%
SYMSTYLES,symbolCircle,symbolTriangle,symbolSquare
YMAX,60.00,,
