,Scotland,Scotland excluding North Sea,UK,UK excluding North Sea
1998-99,5957.7,5658.48,5879.67,5847.92
1999-00,6340.78,5937.58,6247.47,6205.31
2000-01,7100.79,6335.87,6688.68,6607.83
2001-02,7247.23,6466.77,6751.26,6660.57
2002-03,7238.89,6449.06,6823.06,6736.13
2003-04,7682.81,7013.03,7341.34,7268.75
2004-05,8341.05,7439.29,7830.06,7728.59
2005-06,9457.01,7928.74,8336.16,8169.28
2006-07,9512.98,8316.38,8754.31,8624.95
2007-08,10212.37,8744.75,9162.91,9014.42
2008-09,10216.49,8516.92,8855.79,8684.29
2009-10,9442.97,8336.7,8679.65,8574.02
2010-11,10250.47,8765.09,9202.46,9057.21
2011-12,10498.37,9008.69,9469.55,9317.81
2012-13,10072.27,9199.02,9561.75,9467.4
2013-14,10173.53,9527.02,9878.51,9808.46
2014-15,10088.57,9831.91,10159.9,10133.77
2015-16,10128.59,10118.25,10449.89,10451.11
2016-17,10722.43,10683.9,11034.54,11033.26
-META-,,,,
YAXISTITLE,Revenue per person / Â£ billion (real 2016-17) ,,,
SYMBOLS,TRUE,,,
LEFTPADDING,40,,,
YMIN,5500,,,
YMAX,11500,,,
